A		SACRAMENTO
B		DEER_CR_NR_SMARTVILLE
C		FLOW-UNREG
E		
F		ALT-AUGMENTED-MERGED
Units		CFS
Type		PER-AVER
341	06Sep1892	225.6
342	07Sep1892	218.8
343	08Sep1892	218.8
344	09Sep1892	218.8
345	10Sep1892	218.8
346	11Sep1892	218.8
347	12Sep1892	218.8
348	13Sep1892	218.8
349	14Sep1892	218.8
350	15Sep1892	218.8
351	16Sep1892	218.8
352	17Sep1892	218.8
353	18Sep1892	218.8
354	19Sep1892	225.6
355	20Sep1892	246.0
356	21Sep1892	246.0
357	22Sep1892	246.0
358	23Sep1892	253.2
359	24Sep1892	253.2
360	25Sep1892	253.2
361	26Sep1892	253.2
362	27Sep1892	253.2
363	28Sep1892	253.2
364	29Sep1892	239.2
365	30Sep1892	232.4
366	01Oct1892	218.8
367	02Oct1892	212.0
368	03Oct1892	212.0
369	04Oct1892	212.0
370	05Oct1892	212.0
371	06Oct1892	212.0
372	07Oct1892	212.0
373	08Oct1892	212.0
374	09Oct1892	253.2
375	10Oct1892	274.8
376	11Oct1892	260.4
377	12Oct1892	312.4
378	13Oct1892	312.4
379	14Oct1892	304.8
380	15Oct1892	304.8
381	16Oct1892	320.0
382	17Oct1892	328.8
383	18Oct1892	312.4
384	19Oct1892	304.8
385	20Oct1892	304.8
386	21Oct1892	304.8
387	22Oct1892	304.8
388	23Oct1892	304.8
389	24Oct1892	304.8
390	25Oct1892	304.8
391	26Oct1892	304.8
392	27Oct1892	304.8
393	28Oct1892	304.8
394	29Oct1892	304.8
395	30Oct1892	328.8
396	31Oct1892	320.0
397	01Nov1892	320.0
398	02Nov1892	320.0
399	03Nov1892	312.4
400	04Nov1892	312.4
401	05Nov1892	312.4
402	06Nov1892	312.4
403	07Nov1892	312.4
404	08Nov1892	312.4
405	09Nov1892	312.4
406	10Nov1892	304.8
407	11Nov1892	297.2
408	12Nov1892	297.2
409	13Nov1892	297.2
410	14Nov1892	297.2
411	15Nov1892	297.2
412	16Nov1892	297.2
413	17Nov1892	297.2
414	18Nov1892	297.2
415	19Nov1892	297.2
416	20Nov1892	297.2
417	21Nov1892	297.2
418	22Nov1892	297.2
419	23Nov1892	297.2
420	24Nov1892	408.0
421	25Nov1892	320.0
422	26Nov1892	440.0
423	27Nov1892	496.0
424	28Nov1892	1080.0
425	29Nov1892	1720.0
426	30Nov1892	2240.0
427	01Dec1892	1400.0
428	02Dec1892	1080.0
429	03Dec1892	2720.0
430	04Dec1892	1524.0
431	05Dec1892	1080.0
432	06Dec1892	816.0
433	07Dec1892	680.0
434	08Dec1892	608.0
435	09Dec1892	552.0
436	10Dec1892	520.0
437	11Dec1892	496.0
438	12Dec1892	456.0
439	13Dec1892	456.0
440	14Dec1892	428.0
441	15Dec1892	416.0
442	16Dec1892	399.2
443	17Dec1892	390.4
444	18Dec1892	390.4
445	19Dec1892	381.6
446	20Dec1892	381.6
447	21Dec1892	381.6
