A		SACRAMENTO
B		DEER_CR_NR_SMARTVILLE
C		FLOW-UNREG
E		
F		ALT-AUGMENTED-MERGED
Units		CFS
Type		PER-AVER
16532	05Jan1937	73.0
16533	06Jan1937	70.0
16534	07Jan1937	44.0
16535	08Jan1937	42.0
16536	09Jan1937	40.0
16537	10Jan1937	22.0
16538	11Jan1937	51.0
16539	12Jan1937	49.0
16540	13Jan1937	36.0
16541	14Jan1937	114.0
16542	15Jan1937	171.0
16543	16Jan1937	189.0
16544	17Jan1937	64.0
16545	18Jan1937	70.0
16546	19Jan1937	40.0
16547	20Jan1937	28.0
16548	21Jan1937	29.0
16549	22Jan1937	29.0
16550	23Jan1937	26.0
16551	24Jan1937	25.0
16552	25Jan1937	25.0
16553	26Jan1937	29.0
16554	27Jan1937	32.0
16555	28Jan1937	260.0
16556	29Jan1937	180.0
16557	30Jan1937	180.0
16558	31Jan1937	162.0
16559	01Feb1937	130.0
16560	02Feb1937	398.0
16561	03Feb1937	770.0
16562	04Feb1937	4510.0
16563	05Feb1937	2620.0
16564	06Feb1937	2230.0
16565	07Feb1937	540.0
16566	08Feb1937	228.0
16567	09Feb1937	122.0
16568	10Feb1937	115.0
16569	11Feb1937	130.0
16570	12Feb1937	390.0
16571	13Feb1937	1570.0
16572	14Feb1937	1880.0
16573	15Feb1937	670.0
16574	16Feb1937	238.0
16575	17Feb1937	218.0
16576	18Feb1937	218.0
16577	19Feb1937	180.0
16578	20Feb1937	146.0
16579	21Feb1937	146.0
16580	22Feb1937	138.0
16581	23Feb1937	130.0
16582	24Feb1937	138.0
16583	25Feb1937	249.0
16584	26Feb1937	198.0
16585	27Feb1937	154.0
16586	28Feb1937	130.0
16587	01Mar1937	122.0
16588	02Mar1937	138.0
16589	03Mar1937	138.0
16590	04Mar1937	138.0
16591	05Mar1937	146.0
16592	06Mar1937	138.0
16593	07Mar1937	146.0
16594	08Mar1937	162.0
16595	09Mar1937	171.0
16596	10Mar1937	198.0
16597	11Mar1937	218.0
16598	12Mar1937	2140.0
16599	13Mar1937	3340.0
16600	14Mar1937	360.0
16601	15Mar1937	346.0
16602	16Mar1937	332.0
16603	17Mar1937	306.0
16604	18Mar1937	218.0
16605	19Mar1937	390.0
16606	20Mar1937	540.0
16607	21Mar1937	2820.0
16608	22Mar1937	1290.0
16609	23Mar1937	670.0
16610	24Mar1937	1430.0
16611	25Mar1937	715.0
16612	26Mar1937	360.0
16613	27Mar1937	425.0
16614	28Mar1937	360.0
16615	29Mar1937	306.0
16616	30Mar1937	238.0
16617	31Mar1937	238.0
16618	01Apr1937	180.0
16619	02Apr1937	306.0
16620	03Apr1937	425.0
16621	04Apr1937	332.0
16622	05Apr1937	260.0
16623	06Apr1937	760.0
16624	07Apr1937	670.0
16625	08Apr1937	360.0
16626	09Apr1937	360.0
16627	10Apr1937	260.0
16628	11Apr1937	238.0
16629	12Apr1937	260.0
16630	13Apr1937	238.0
16631	14Apr1937	282.0
16632	15Apr1937	360.0
16633	16Apr1937	390.0
16634	17Apr1937	425.0
16635	18Apr1937	425.0
16636	19Apr1937	282.0
16637	20Apr1937	260.0
16638	21Apr1937	282.0
16639	22Apr1937	306.0
16640	23Apr1937	306.0
16641	24Apr1937	260.0
16642	25Apr1937	218.0
16643	26Apr1937	218.0
16644	27Apr1937	260.0
16645	28Apr1937	218.0
16646	29Apr1937	130.0
16647	30Apr1937	146.0
16648	01May1937	130.0
16649	02May1937	138.0
16650	03May1937	130.0
16651	04May1937	130.0
16652	05May1937	130.0
16653	06May1937	146.0
16654	07May1937	122.0
16655	08May1937	122.0
16656	09May1937	88.0
16657	10May1937	88.0
16658	11May1937	82.0
16659	12May1937	82.0
16660	13May1937	74.0
16661	14May1937	74.0
16662	15May1937	72.0
16663	16May1937	53.0
16664	17May1937	43.0
16665	18May1937	43.0
16666	19May1937	36.0
16667	20May1937	33.0
16668	21May1937	31.0
16669	22May1937	30.0
16670	23May1937	27.0
16671	24May1937	26.0
16672	25May1937	25.0
16673	26May1937	24.0
16674	27May1937	22.0
16675	28May1937	20.0
16676	29May1937	24.0
16677	30May1937	24.0
16678	31May1937	20.0
16679	01Jun1937	19.0
16680	02Jun1937	16.0
16681	03Jun1937	14.0
16682	04Jun1937	14.0
16683	05Jun1937	17.0
16684	06Jun1937	16.0
16685	07Jun1937	9.0
16686	08Jun1937	18.0
16687	09Jun1937	19.0
16688	10Jun1937	14.0
16689	11Jun1937	9.0
16690	12Jun1937	12.0
16691	13Jun1937	14.0
16692	14Jun1937	76.0
16693	15Jun1937	36.0
16694	16Jun1937	33.0
16695	17Jun1937	28.0
16696	18Jun1937	28.0
16697	19Jun1937	25.0
16698	20Jun1937	24.0
16699	21Jun1937	18.0
16700	22Jun1937	17.0
16701	23Jun1937	24.0
16702	24Jun1937	25.0
16703	25Jun1937	26.0
16704	26Jun1937	24.0
16705	27Jun1937	12.0
16706	28Jun1937	8.0
16707	29Jun1937	6.0
16708	30Jun1937	6.0
16709	01Jul1937	4.0
16710	02Jul1937	2.0
16711	03Jul1937	1.0
16712	04Jul1937	2.0
16713	05Jul1937	1.0
16714	06Jul1937	1.0
16715	07Jul1937	1.0
16716	08Jul1937	1.0
16717	09Jul1937	2.0
16718	10Jul1937	1.0
16719	11Jul1937	1.0
16720	12Jul1937	1.0
16721	13Jul1937	1.0
16722	14Jul1937	1.0
16723	15Jul1937	1.0
16724	16Jul1937	1.0
16725	17Jul1937	1.0
16726	18Jul1937	1.0
16727	19Jul1937	1.0
16728	20Jul1937	1.0
16729	21Jul1937	1.0
16730	22Jul1937	1.0
16731	23Jul1937	1.0
16732	24Jul1937	1.0
16733	25Jul1937	1.0
16734	26Jul1937	1.0
16735	27Jul1937	1.0
16736	28Jul1937	1.0
16737	29Jul1937	1.0
16738	30Jul1937	1.0
16739	31Jul1937	1.0
16740	01Aug1937	1.0
16741	02Aug1937	1.0
16742	03Aug1937	0.0
16743	04Aug1937	0.0
16744	05Aug1937	0.0
16745	06Aug1937	0.0
16746	07Aug1937	0.0
16747	08Aug1937	0.0
16748	09Aug1937	0.0
16749	10Aug1937	1.0
16750	11Aug1937	0.0
16751	12Aug1937	0.0
16752	13Aug1937	0.0
16753	14Aug1937	0.0
16754	15Aug1937	0.0
16755	16Aug1937	0.0
16756	17Aug1937	0.0
16757	18Aug1937	0.0
16758	19Aug1937	0.0
16759	20Aug1937	0.0
16760	21Aug1937	0.0
16761	22Aug1937	0.0
16762	23Aug1937	0.0
16763	24Aug1937	0.0
16764	25Aug1937	0.0
16765	26Aug1937	0.0
16766	27Aug1937	0.0
16767	28Aug1937	0.0
16768	29Aug1937	0.0
16769	30Aug1937	0.0
16770	31Aug1937	0.0
16771	01Sep1937	0.0
16772	02Sep1937	0.0
16773	03Sep1937	0.0
16774	04Sep1937	0.0
16775	05Sep1937	0.0
16776	06Sep1937	0.0
16777	07Sep1937	0.0
16778	08Sep1937	0.0
16779	09Sep1937	0.0
16780	10Sep1937	0.0
16781	11Sep1937	0.0
16782	12Sep1937	0.0
16783	13Sep1937	0.0
16784	14Sep1937	0.0
16785	15Sep1937	0.0
16786	16Sep1937	0.0
16787	17Sep1937	0.0
16788	18Sep1937	0.0
16789	19Sep1937	0.0
16790	20Sep1937	0.0
16791	21Sep1937	0.0
16792	22Sep1937	0.0
16793	23Sep1937	0.0
16794	24Sep1937	0.0
16795	25Sep1937	0.0
16796	26Sep1937	0.0
16797	27Sep1937	0.0
16798	28Sep1937	0.0
16799	29Sep1937	0.0
16800	30Sep1937	0.0
16801	01Oct1937	0.0
16802	02Oct1937	41.0
16803	03Oct1937	2.0
16804	04Oct1937	2.0
16805	05Oct1937	2.0
16806	06Oct1937	2.0
16807	07Oct1937	1.0
16808	08Oct1937	1.0
16809	09Oct1937	1.0
16810	10Oct1937	1.0
16811	11Oct1937	1.0
16812	12Oct1937	2.0
16813	13Oct1937	8.0
16814	14Oct1937	34.0
16815	15Oct1937	30.0
16816	16Oct1937	34.0
16817	17Oct1937	33.0
16818	18Oct1937	31.0
16819	19Oct1937	34.0
16820	20Oct1937	15.0
16821	21Oct1937	14.0
16822	22Oct1937	12.0
16823	23Oct1937	14.0
16824	24Oct1937	16.0
16825	25Oct1937	18.0
16826	26Oct1937	19.0
16827	27Oct1937	20.0
16828	28Oct1937	22.0
16829	29Oct1937	28.0
16830	30Oct1937	34.0
16831	31Oct1937	34.0
16832	01Nov1937	33.0
16833	02Nov1937	45.0
16834	03Nov1937	31.0
16835	04Nov1937	55.0
16836	05Nov1937	65.0
16837	06Nov1937	65.0
16838	07Nov1937	76.0
16839	08Nov1937	76.0
16840	09Nov1937	82.0
16841	10Nov1937	82.0
16842	11Nov1937	88.0
16843	12Nov1937	88.0
16844	13Nov1937	88.0
16845	14Nov1937	76.0
16846	15Nov1937	76.0
16847	16Nov1937	76.0
16848	17Nov1937	500.0
16849	18Nov1937	67.0
16850	19Nov1937	41.0
16851	20Nov1937	460.0
16852	21Nov1937	715.0
16853	22Nov1937	1290.0
16854	23Nov1937	500.0
16855	24Nov1937	198.0
16856	25Nov1937	162.0
16857	26Nov1937	115.0
16858	27Nov1937	36.0
16859	28Nov1937	28.0
16860	29Nov1937	19.0
16861	30Nov1937	14.0
16862	01Dec1937	36.0
16863	02Dec1937	65.0
16864	03Dec1937	15.0
16865	04Dec1937	45.0
16866	05Dec1937	40.0
16867	06Dec1937	40.0
16868	07Dec1937	36.0
16869	08Dec1937	35.0
16870	09Dec1937	88.0
16871	10Dec1937	2420.0
16872	11Dec1937	6620.0
16873	12Dec1937	1930.0
16874	13Dec1937	455.0
16875	14Dec1937	170.0
16876	15Dec1937	138.0
16877	16Dec1937	138.0
16878	17Dec1937	101.0
16879	18Dec1937	88.0
16880	19Dec1937	82.0
16881	20Dec1937	66.0
16882	21Dec1937	70.0
16883	22Dec1937	94.0
16884	23Dec1937	101.0
16885	24Dec1937	68.0
16886	25Dec1937	72.0
16887	26Dec1937	82.0
16888	27Dec1937	75.0
16889	28Dec1937	70.0
16890	29Dec1937	72.0
16891	30Dec1937	68.0
16892	31Dec1937	77.0
16893	01Jan1938	70.0
16894	02Jan1938	72.0
16895	03Jan1938	68.0
16896	04Jan1938	66.0
16897	05Jan1938	63.0
16898	06Jan1938	59.0
16899	07Jan1938	53.0
16900	08Jan1938	57.0
16901	09Jan1938	57.0
16902	10Jan1938	55.0
16903	11Jan1938	55.0
16904	12Jan1938	53.0
16905	13Jan1938	53.0
16906	14Jan1938	51.0
16907	15Jan1938	272.0
16908	16Jan1938	154.0
16909	17Jan1938	1100.0
16910	18Jan1938	420.0
16911	19Jan1938	285.0
16912	20Jan1938	248.0
16913	21Jan1938	138.0
16914	22Jan1938	130.0
16915	23Jan1938	122.0
16916	24Jan1938	115.0
16917	25Jan1938	108.0
16918	26Jan1938	88.0
16919	27Jan1938	94.0
16920	28Jan1938	138.0
16921	29Jan1938	130.0
16922	30Jan1938	130.0
16923	31Jan1938	990.0
16924	01Feb1938	1480.0
16925	02Feb1938	2270.0
16926	03Feb1938	3030.0
16927	04Feb1938	1100.0
16928	05Feb1938	1280.0
16929	06Feb1938	605.0
16930	07Feb1938	455.0
16931	08Feb1938	2090.0
16932	09Feb1938	1770.0
16933	10Feb1938	3670.0
16934	11Feb1938	2830.0
16935	12Feb1938	1340.0
16936	13Feb1938	3030.0
16937	14Feb1938	1550.0
16938	15Feb1938	650.0
16939	16Feb1938	490.0
16940	17Feb1938	605.0
16941	18Feb1938	890.0
16942	19Feb1938	1770.0
16943	20Feb1938	790.0
16944	21Feb1938	490.0
16945	22Feb1938	455.0
16946	23Feb1938	356.0
16947	24Feb1938	248.0
16948	25Feb1938	272.0
16949	26Feb1938	248.0
16950	27Feb1938	226.0
16951	28Feb1938	248.0
16952	01Mar1938	525.0
16953	02Mar1938	3910.0
16954	03Mar1938	1850.0
16955	04Mar1938	1100.0
16956	05Mar1938	940.0
16957	06Mar1938	695.0
16958	07Mar1938	490.0
16959	08Mar1938	356.0
16960	09Mar1938	272.0
16961	10Mar1938	356.0
16962	11Mar1938	420.0
16963	12Mar1938	1220.0
16964	13Mar1938	2090.0
16965	14Mar1938	610.0
16966	15Mar1938	570.0
16967	16Mar1938	1050.0
16968	17Mar1938	745.0
16969	18Mar1938	840.0
16970	19Mar1938	700.0
16971	20Mar1938	3550.0
16972	21Mar1938	2180.0
16973	22Mar1938	840.0
16974	23Mar1938	2540.0
16975	24Mar1938	2920.0
16976	25Mar1938	1350.0
16977	26Mar1938	995.0
16978	27Mar1938	700.0
16979	28Mar1938	610.0
16980	29Mar1938	570.0
16981	30Mar1938	530.0
16982	31Mar1938	490.0
16983	01Apr1938	350.0
16984	02Apr1938	295.0
16985	03Apr1938	415.0
16986	04Apr1938	1110.0
16987	05Apr1938	1050.0
16988	06Apr1938	450.0
16989	07Apr1938	415.0
16990	08Apr1938	415.0
16991	09Apr1938	380.0
16992	10Apr1938	350.0
16993	11Apr1938	320.0
16994	12Apr1938	320.0
16995	13Apr1938	295.0
16996	14Apr1938	270.0
16997	15Apr1938	240.0
16998	16Apr1938	230.0
16999	17Apr1938	230.0
17000	18Apr1938	250.0
17001	19Apr1938	295.0
17002	20Apr1938	295.0
17003	21Apr1938	320.0
17004	22Apr1938	270.0
17005	23Apr1938	230.0
17006	24Apr1938	270.0
17007	25Apr1938	295.0
17008	26Apr1938	270.0
17009	27Apr1938	220.0
17010	28Apr1938	220.0
17011	29Apr1938	210.0
17012	30Apr1938	230.0
17013	01May1938	295.0
17014	02May1938	250.0
17015	03May1938	201.0
17016	04May1938	192.0
17017	05May1938	174.0
17018	06May1938	158.0
17019	07May1938	158.0
17020	08May1938	150.0
17021	09May1938	142.0
17022	10May1938	142.0
17023	11May1938	142.0
17024	12May1938	142.0
17025	13May1938	126.0
17026	14May1938	111.0
17027	15May1938	111.0
17028	16May1938	104.0
17029	17May1938	81.0
17030	18May1938	75.0
17031	19May1938	58.0
17032	20May1938	49.0
17033	21May1938	52.0
17034	22May1938	49.0
17035	23May1938	58.0
17036	24May1938	49.0
17037	25May1938	49.0
17038	26May1938	44.0
17039	27May1938	44.0
17040	28May1938	58.0
17041	29May1938	41.0
17042	30May1938	41.0
17043	31May1938	32.0
17044	01Jun1938	28.0
17045	02Jun1938	23.0
17046	03Jun1938	20.0
17047	04Jun1938	26.0
17048	05Jun1938	28.0
17049	06Jun1938	19.0
17050	07Jun1938	19.0
17051	08Jun1938	19.0
17052	09Jun1938	16.0
17053	10Jun1938	18.0
17054	11Jun1938	25.0
17055	12Jun1938	20.0
17056	13Jun1938	16.0
17057	14Jun1938	14.0
17058	15Jun1938	19.0
17059	16Jun1938	19.0
17060	17Jun1938	17.0
17061	18Jun1938	19.0
17062	19Jun1938	16.0
17063	20Jun1938	17.0
17064	21Jun1938	14.0
17065	22Jun1938	13.0
17066	23Jun1938	8.0
17067	24Jun1938	28.0
17068	25Jun1938	11.0
17069	26Jun1938	10.0
17070	27Jun1938	7.0
17071	28Jun1938	7.0
17072	29Jun1938	12.0
17073	30Jun1938	11.0
17074	01Jul1938	11.0
17075	02Jul1938	8.0
17076	03Jul1938	10.0
17077	04Jul1938	8.0
17078	05Jul1938	7.0
17079	06Jul1938	6.0
17080	07Jul1938	4.0
17081	08Jul1938	6.0
17082	09Jul1938	6.0
17083	10Jul1938	4.0
17084	11Jul1938	3.0
17085	12Jul1938	2.0
17086	13Jul1938	2.0
17087	14Jul1938	2.0
17088	15Jul1938	1.0
17089	16Jul1938	3.0
17090	17Jul1938	2.0
17091	18Jul1938	3.0
17092	19Jul1938	1.0
17093	20Jul1938	3.0
17094	21Jul1938	2.0
17095	22Jul1938	2.0
17096	23Jul1938	1.0
17097	24Jul1938	7.0
17098	25Jul1938	6.0
17099	26Jul1938	3.0
17100	27Jul1938	2.0
17101	28Jul1938	1.0
17102	29Jul1938	1.0
17103	30Jul1938	2.0
17104	31Jul1938	2.0
17105	01Aug1938	1.0
17106	02Aug1938	1.0
17107	03Aug1938	0.0
17108	04Aug1938	0.0
17109	05Aug1938	1.0
17110	06Aug1938	1.0
17111	07Aug1938	0.0
17112	08Aug1938	1.0
17113	09Aug1938	1.0
17114	10Aug1938	1.0
17115	11Aug1938	1.0
17116	12Aug1938	0.0
17117	13Aug1938	0.0
17118	14Aug1938	0.0
17119	15Aug1938	1.0
17120	16Aug1938	1.0
17121	17Aug1938	1.0
17122	18Aug1938	2.0
17123	19Aug1938	1.0
17124	20Aug1938	1.0
17125	21Aug1938	1.0
17126	22Aug1938	1.0
17127	23Aug1938	1.0
17128	24Aug1938	1.0
17129	25Aug1938	0.0
17130	26Aug1938	1.0
17131	27Aug1938	1.0
17132	28Aug1938	1.0
17133	29Aug1938	1.0
17134	30Aug1938	1.0
17135	31Aug1938	1.0
17136	01Sep1938	1.0
17137	02Sep1938	0.0
17138	03Sep1938	1.0
17139	04Sep1938	1.0
17140	05Sep1938	1.0
17141	06Sep1938	1.0
17142	07Sep1938	1.0
17143	08Sep1938	1.0
17144	09Sep1938	1.0
17145	10Sep1938	1.0
17146	11Sep1938	1.0
17147	12Sep1938	1.0
17148	13Sep1938	1.0
17149	14Sep1938	1.0
17150	15Sep1938	1.0
17151	16Sep1938	1.0
17152	17Sep1938	1.0
17153	18Sep1938	1.0
17154	19Sep1938	1.0
17155	20Sep1938	1.0
17156	21Sep1938	1.0
17157	22Sep1938	1.0
17158	23Sep1938	1.0
17159	24Sep1938	1.0
17160	25Sep1938	1.0
17161	26Sep1938	1.0
17162	27Sep1938	1.0
17163	28Sep1938	1.0
17164	29Sep1938	3.0
17165	30Sep1938	2.0
17166	01Oct1938	2.0
17167	02Oct1938	2.0
17168	03Oct1938	7.0
17169	04Oct1938	11.0
17170	05Oct1938	10.0
17171	06Oct1938	8.0
17172	07Oct1938	7.0
17173	08Oct1938	8.0
17174	09Oct1938	8.0
17175	10Oct1938	5.0
17176	11Oct1938	6.0
17177	12Oct1938	6.0
17178	13Oct1938	6.0
17179	14Oct1938	7.0
17180	15Oct1938	10.0
17181	16Oct1938	17.0
17182	17Oct1938	18.0
17183	18Oct1938	14.0
17184	19Oct1938	14.0
17185	20Oct1938	16.0
17186	21Oct1938	16.0
17187	22Oct1938	14.0
17188	23Oct1938	11.0
17189	24Oct1938	14.0
17190	25Oct1938	16.0
17191	26Oct1938	14.0
17192	27Oct1938	14.0
17193	28Oct1938	19.0
17194	29Oct1938	22.0
17195	30Oct1938	23.0
17196	31Oct1938	28.0
17197	01Nov1938	28.0
17198	02Nov1938	14.0
17199	03Nov1938	10.0
17200	04Nov1938	8.0
17201	05Nov1938	12.0
17202	06Nov1938	6.0
17203	07Nov1938	6.0
17204	08Nov1938	6.0
17205	09Nov1938	6.0
17206	10Nov1938	6.0
17207	11Nov1938	7.0
17208	12Nov1938	6.0
17209	13Nov1938	6.0
17210	14Nov1938	7.0
17211	15Nov1938	6.0
17212	16Nov1938	6.0
17213	17Nov1938	6.0
17214	18Nov1938	6.0
17215	19Nov1938	6.0
17216	20Nov1938	6.0
17217	21Nov1938	6.0
17218	22Nov1938	6.0
17219	23Nov1938	5.0
17220	24Nov1938	5.0
17221	25Nov1938	4.0
17222	26Nov1938	5.0
17223	27Nov1938	6.0
17224	28Nov1938	6.0
17225	29Nov1938	10.0
17226	30Nov1938	46.0
17227	01Dec1938	36.0
17228	02Dec1938	30.0
17229	03Dec1938	108.0
17230	04Dec1938	56.0
17231	05Dec1938	31.0
17232	06Dec1938	20.0
17233	07Dec1938	14.0
17234	08Dec1938	11.0
17235	09Dec1938	11.0
17236	10Dec1938	9.0
17237	11Dec1938	9.0
17238	12Dec1938	8.0
17239	13Dec1938	8.0
17240	14Dec1938	8.0
17241	15Dec1938	9.0
17242	16Dec1938	8.0
17243	17Dec1938	7.0
17244	18Dec1938	7.0
17245	19Dec1938	8.0
17246	20Dec1938	14.0
17247	21Dec1938	13.0
17248	22Dec1938	9.0
17249	23Dec1938	8.0
17250	24Dec1938	6.0
17251	25Dec1938	7.0
17252	26Dec1938	6.0
17253	27Dec1938	6.0
17254	28Dec1938	6.0
17255	29Dec1938	6.0
17256	30Dec1938	6.0
17257	31Dec1938	8.0
17258	01Jan1939	6.0
17259	02Jan1939	6.0
17260	03Jan1939	8.0
17261	04Jan1939	12.0
17262	05Jan1939	456.0
17263	06Jan1939	109.0
17264	07Jan1939	59.0
17265	08Jan1939	46.0
17266	09Jan1939	42.0
17267	10Jan1939	40.0
17268	11Jan1939	40.0
17269	12Jan1939	31.0
17270	13Jan1939	22.0
17271	14Jan1939	22.0
17272	15Jan1939	22.0
17273	16Jan1939	23.0
17274	17Jan1939	21.0
17275	18Jan1939	18.0
17276	19Jan1939	18.0
17277	20Jan1939	19.0
17278	21Jan1939	22.0
17279	22Jan1939	20.0
17280	23Jan1939	19.0
17281	24Jan1939	20.0
17282	25Jan1939	22.0
17283	26Jan1939	23.0
17284	27Jan1939	44.0
17285	28Jan1939	74.0
17286	29Jan1939	53.0
17287	30Jan1939	321.0
17288	31Jan1939	95.0
17289	01Feb1939	62.0
17290	02Feb1939	53.0
17291	03Feb1939	120.0
17292	04Feb1939	113.0
17293	05Feb1939	76.0
17294	06Feb1939	548.0
17295	07Feb1939	187.0
17296	08Feb1939	140.0
17297	09Feb1939	80.0
17298	10Feb1939	70.0
17299	11Feb1939	62.0
17300	12Feb1939	55.0
17301	13Feb1939	51.0
17302	14Feb1939	46.0
17303	15Feb1939	44.0
17304	16Feb1939	42.0
17305	17Feb1939	39.0
17306	18Feb1939	37.0
17307	19Feb1939	37.0
17308	20Feb1939	35.0
17309	21Feb1939	33.0
17310	22Feb1939	33.0
17311	23Feb1939	33.0
17312	24Feb1939	35.0
17313	25Feb1939	34.0
17314	26Feb1939	33.0
17315	27Feb1939	30.0
17316	28Feb1939	29.0
17317	01Mar1939	28.0
17318	02Mar1939	28.0
17319	03Mar1939	27.0
17320	04Mar1939	26.0
17321	05Mar1939	26.0
17322	06Mar1939	29.0
17323	07Mar1939	33.0
17324	08Mar1939	814.0
17325	09Mar1939	1520.0
17326	10Mar1939	374.0
17327	11Mar1939	210.0
17328	12Mar1939	158.0
17329	13Mar1939	158.0
17330	14Mar1939	163.0
17331	15Mar1939	108.0
17332	16Mar1939	97.0
17333	17Mar1939	95.0
17334	18Mar1939	94.0
17335	19Mar1939	92.0
17336	20Mar1939	90.0
17337	21Mar1939	98.0
17338	22Mar1939	105.0
17339	23Mar1939	118.0
17340	24Mar1939	134.0
17341	25Mar1939	120.0
17342	26Mar1939	102.0
17343	27Mar1939	214.0
17344	28Mar1939	137.0
17345	29Mar1939	113.0
17346	30Mar1939	115.0
17347	31Mar1939	105.0
17348	01Apr1939	88.0
17349	02Apr1939	55.0
17350	03Apr1939	47.0
17351	04Apr1939	44.0
17352	05Apr1939	39.0
17353	06Apr1939	22.0
17354	07Apr1939	9.0
17355	08Apr1939	10.0
17356	09Apr1939	17.0
17357	10Apr1939	14.0
17358	11Apr1939	16.0
17359	12Apr1939	16.0
17360	13Apr1939	18.0
17361	14Apr1939	14.0
17362	15Apr1939	14.0
17363	16Apr1939	18.0
17364	17Apr1939	15.0
17365	18Apr1939	14.0
17366	19Apr1939	12.0
17367	20Apr1939	12.0
17368	21Apr1939	7.0
17369	22Apr1939	4.0
17370	23Apr1939	4.0
17371	24Apr1939	5.0
17372	25Apr1939	4.0
17373	26Apr1939	3.0
17374	27Apr1939	3.0
17375	28Apr1939	7.0
17376	29Apr1939	6.0
17377	30Apr1939	7.0
17378	01May1939	7.0
17379	02May1939	6.0
17380	03May1939	8.0
17381	04May1939	8.0
17382	05May1939	3.0
17383	06May1939	3.0
17384	07May1939	6.0
17385	08May1939	7.0
17386	09May1939	7.0
17387	10May1939	10.0
17388	11May1939	12.0
17389	12May1939	12.0
17390	13May1939	16.0
17391	14May1939	16.0
17392	15May1939	16.0
17393	16May1939	16.0
17394	17May1939	16.0
17395	18May1939	14.0
17396	19May1939	16.0
17397	20May1939	14.0
17398	21May1939	29.0
17399	22May1939	53.0
17400	23May1939	105.0
17401	24May1939	36.0
17402	25May1939	28.0
17403	26May1939	25.0
17404	27May1939	22.0
17405	28May1939	20.0
17406	29May1939	18.0
17407	30May1939	17.0
17408	31May1939	16.0
17409	01Jun1939	16.0
17410	02Jun1939	14.0
17411	03Jun1939	12.0
17412	04Jun1939	13.0
17413	05Jun1939	11.0
17414	06Jun1939	5.0
17415	07Jun1939	4.0
17416	08Jun1939	4.0
17417	09Jun1939	2.0
17418	10Jun1939	1.0
17419	11Jun1939	1.0
17420	12Jun1939	1.0
17421	13Jun1939	1.0
17422	14Jun1939	2.0
17423	15Jun1939	1.0
17424	16Jun1939	1.0
17425	17Jun1939	1.0
17426	18Jun1939	1.0
17427	19Jun1939	1.0
17428	20Jun1939	1.0
17429	21Jun1939	1.0
17430	22Jun1939	0.0
17431	23Jun1939	0.0
17432	24Jun1939	0.0
17433	25Jun1939	0.0
17434	26Jun1939	0.0
17435	27Jun1939	0.0
17436	28Jun1939	0.0
17437	29Jun1939	0.0
17438	30Jun1939	0.0
17439	01Jul1939	0.0
17440	02Jul1939	0.0
17441	03Jul1939	0.0
17442	04Jul1939	0.0
17443	05Jul1939	0.0
17444	06Jul1939	0.0
17445	07Jul1939	0.0
17446	08Jul1939	0.0
17447	09Jul1939	0.0
17448	10Jul1939	0.0
17449	11Jul1939	0.0
17450	12Jul1939	0.0
17451	13Jul1939	0.0
17452	14Jul1939	0.0
17453	15Jul1939	0.0
17454	16Jul1939	0.0
17455	17Jul1939	0.0
17456	18Jul1939	0.0
17457	19Jul1939	0.0
17458	20Jul1939	0.0
17459	21Jul1939	0.0
17460	22Jul1939	0.0
17461	23Jul1939	0.0
17462	24Jul1939	0.0
17463	25Jul1939	0.0
17464	26Jul1939	0.0
17465	27Jul1939	0.0
17466	28Jul1939	0.0
17467	29Jul1939	0.0
17468	30Jul1939	0.0
17469	31Jul1939	0.0
17470	01Aug1939	0.0
17471	02Aug1939	0.0
17472	03Aug1939	0.0
17473	04Aug1939	0.0
17474	05Aug1939	0.0
17475	06Aug1939	0.0
17476	07Aug1939	0.0
17477	08Aug1939	0.0
17478	09Aug1939	0.0
17479	10Aug1939	0.0
17480	11Aug1939	0.0
17481	12Aug1939	0.0
17482	13Aug1939	0.0
17483	14Aug1939	0.0
17484	15Aug1939	0.0
17485	16Aug1939	0.0
17486	17Aug1939	0.0
17487	18Aug1939	0.0
17488	19Aug1939	0.0
17489	20Aug1939	0.0
17490	21Aug1939	0.0
17491	22Aug1939	0.0
17492	23Aug1939	0.0
17493	24Aug1939	0.0
17494	25Aug1939	0.0
17495	26Aug1939	0.0
17496	27Aug1939	0.0
17497	28Aug1939	0.0
17498	29Aug1939	0.0
17499	30Aug1939	0.0
17500	31Aug1939	0.0
17501	01Sep1939	0.0
17502	02Sep1939	0.0
17503	03Sep1939	0.0
17504	04Sep1939	0.0
17505	05Sep1939	0.0
17506	06Sep1939	0.0
17507	07Sep1939	0.0
17508	08Sep1939	0.0
17509	09Sep1939	0.0
17510	10Sep1939	0.0
17511	11Sep1939	0.0
17512	12Sep1939	0.0
17513	13Sep1939	0.0
17514	14Sep1939	0.0
17515	15Sep1939	0.0
17516	16Sep1939	0.0
17517	17Sep1939	0.0
17518	18Sep1939	0.0
17519	19Sep1939	0.0
17520	20Sep1939	0.0
17521	21Sep1939	0.0
17522	22Sep1939	0.0
17523	23Sep1939	0.0
17524	24Sep1939	0.0
17525	25Sep1939	0.0
17526	26Sep1939	1.0
17527	27Sep1939	1.0
17528	28Sep1939	1.0
17529	29Sep1939	2.0
17530	30Sep1939	1.0
17531	01Oct1939	1.0
17532	02Oct1939	2.0
17533	03Oct1939	2.0
17534	04Oct1939	2.0
17535	05Oct1939	2.0
