A		DEER C
B		SMARTSVILLE CA
C		FLOW-UNREG
E		
F		CALC-NONEG
Units		CFS
Type		PER-AVER
729	29Sep2007	0
730	30Sep2007	0
731	01Oct2007	0
732	02Oct2007	0
733	03Oct2007	0
734	04Oct2007	8
735	05Oct2007	0
736	06Oct2007	0
737	07Oct2007	0
738	08Oct2007	0
739	09Oct2007	17
740	10Oct2007	0
741	11Oct2007	8
742	12Oct2007	0
743	13Oct2007	20
744	14Oct2007	36
745	15Oct2007	94
746	16Oct2007	120
747	17Oct2007	163
748	18Oct2007	234
749	19Oct2007	206
750	20Oct2007	200
751	21Oct2007	203
752	22Oct2007	205
753	23Oct2007	194
754	24Oct2007	89
755	25Oct2007	45
756	26Oct2007	46
757	27Oct2007	15
758	28Oct2007	15
759	29Oct2007	15
760	30Oct2007	19
761	31Oct2007	13
762	01Nov2007	14
763	02Nov2007	15
764	03Nov2007	13
765	04Nov2007	13
766	05Nov2007	13
767	06Nov2007	12
768	07Nov2007	10
769	08Nov2007	12
770	09Nov2007	24
771	10Nov2007	41
772	11Nov2007	24
773	12Nov2007	29
774	13Nov2007	20
775	14Nov2007	19
776	15Nov2007	19
777	16Nov2007	19
778	17Nov2007	16
779	18Nov2007	19
780	19Nov2007	19
781	20Nov2007	22
782	21Nov2007	16
783	22Nov2007	14
784	23Nov2007	16
785	24Nov2007	17
786	25Nov2007	16
787	26Nov2007	16
788	27Nov2007	12
789	28Nov2007	15
790	29Nov2007	15
791	30Nov2007	15
792	01Dec2007	15
793	02Dec2007	14
794	03Dec2007	15
795	04Dec2007	14
796	05Dec2007	58
797	06Dec2007	91
798	07Dec2007	180
799	08Dec2007	30
800	09Dec2007	25
801	10Dec2007	19
802	11Dec2007	21
803	12Dec2007	18
804	13Dec2007	20
805	14Dec2007	21
806	15Dec2007	21
807	16Dec2007	56
808	17Dec2007	109
809	18Dec2007	337
810	19Dec2007	223
811	20Dec2007	366
812	21Dec2007	71
813	22Dec2007	52
814	23Dec2007	41
815	24Dec2007	31
816	25Dec2007	36
817	26Dec2007	26
818	27Dec2007	34
819	28Dec2007	33
820	29Dec2007	54
821	30Dec2007	41
822	31Dec2007	38
823	01Jan2008	40
824	02Jan2008	30
825	03Jan2008	230
826	04Jan2008	899
827	05Jan2008	576
828	06Jan2008	437
829	07Jan2008	239
830	08Jan2008	247
831	09Jan2008	390
832	10Jan2008	167
833	11Jan2008	122
834	12Jan2008	101
835	13Jan2008	87
836	14Jan2008	82
837	15Jan2008	71
838	16Jan2008	65
839	17Jan2008	58
840	18Jan2008	52
841	19Jan2008	57
842	20Jan2008	64
843	21Jan2008	59
844	22Jan2008	54
845	23Jan2008	79
846	24Jan2008	89
847	25Jan2008	99
848	26Jan2008	260
849	27Jan2008	339
850	28Jan2008	725
851	29Jan2008	242
852	30Jan2008	260
853	31Jan2008	321
854	01Feb2008	591
855	02Feb2008	272
856	03Feb2008	680
857	04Feb2008	245
858	05Feb2008	153
859	06Feb2008	120
860	07Feb2008	104
861	08Feb2008	84
862	09Feb2008	98
863	10Feb2008	96
864	11Feb2008	102
865	12Feb2008	102
866	13Feb2008	88
867	14Feb2008	86
868	15Feb2008	88
869	16Feb2008	97
870	17Feb2008	81
871	18Feb2008	81
872	19Feb2008	100
873	20Feb2008	98
874	21Feb2008	182
875	22Feb2008	231
876	23Feb2008	312
877	24Feb2008	1149
878	25Feb2008	573
879	26Feb2008	294
880	27Feb2008	215
881	28Feb2008	198
882	29Feb2008	217
883	01Mar2008	153
884	02Mar2008	148
885	03Mar2008	119
886	04Mar2008	123
887	05Mar2008	118
888	06Mar2008	118
889	07Mar2008	107
890	08Mar2008	115
891	09Mar2008	108
892	10Mar2008	102
893	11Mar2008	103
894	12Mar2008	139
895	13Mar2008	144
896	14Mar2008	128
897	15Mar2008	114
898	16Mar2008	111
899	17Mar2008	104
900	18Mar2008	97
901	19Mar2008	88
902	20Mar2008	104
903	21Mar2008	107
904	22Mar2008	108
905	23Mar2008	105
906	24Mar2008	110
907	25Mar2008	102
908	26Mar2008	104
909	27Mar2008	122
910	28Mar2008	118
911	29Mar2008	123
912	30Mar2008	121
913	31Mar2008	103
914	01Apr2008	130
915	02Apr2008	90
916	03Apr2008	89
917	04Apr2008	96
918	05Apr2008	86
919	06Apr2008	88
920	07Apr2008	84
921	08Apr2008	85
922	09Apr2008	38
923	10Apr2008	57
924	11Apr2008	50
925	12Apr2008	21
926	13Apr2008	10
927	14Apr2008	0
928	15Apr2008	0
929	16Apr2008	0
930	17Apr2008	0
931	18Apr2008	0
932	19Apr2008	0
933	20Apr2008	0
934	21Apr2008	0
935	22Apr2008	0
936	23Apr2008	0
937	24Apr2008	0
938	25Apr2008	0
939	26Apr2008	0
940	27Apr2008	0
941	28Apr2008	0
942	29Apr2008	0
943	30Apr2008	0
944	01May2008	0
945	02May2008	0
946	03May2008	0
947	04May2008	0
948	05May2008	0
949	06May2008	0
950	07May2008	0
951	08May2008	0
952	09May2008	0
953	10May2008	0
954	11May2008	0
955	12May2008	0
956	13May2008	0
957	14May2008	0
958	15May2008	0
959	16May2008	0
960	17May2008	0
961	18May2008	0
962	19May2008	0
963	20May2008	0
964	21May2008	0
965	22May2008	0
966	23May2008	0
967	24May2008	0
968	25May2008	0
969	26May2008	0
970	27May2008	0
971	28May2008	0
972	29May2008	0
973	30May2008	0
974	31May2008	0
975	01Jun2008	0
976	02Jun2008	0
977	03Jun2008	0
978	04Jun2008	0
979	05Jun2008	0
980	06Jun2008	0
981	07Jun2008	0
982	08Jun2008	0
983	09Jun2008	0
984	10Jun2008	0
985	11Jun2008	0
986	12Jun2008	0
987	13Jun2008	0
988	14Jun2008	0
989	15Jun2008	0
990	16Jun2008	0
991	17Jun2008	0
992	18Jun2008	0
993	19Jun2008	0
994	20Jun2008	0
995	21Jun2008	0
996	22Jun2008	0
997	23Jun2008	0
998	24Jun2008	0
999	25Jun2008	0
1000	26Jun2008	0
1001	27Jun2008	0
1002	28Jun2008	0
1003	29Jun2008	0
1004	30Jun2008	0
1005	01Jul2008	0
1006	02Jul2008	0
1007	03Jul2008	0
1008	04Jul2008	0
1009	05Jul2008	0
1010	06Jul2008	0
1011	07Jul2008	0
1012	08Jul2008	0
1013	09Jul2008	0
1014	10Jul2008	0
1015	11Jul2008	0
1016	12Jul2008	0
1017	13Jul2008	0
1018	14Jul2008	0
1019	15Jul2008	0
1020	16Jul2008	0
1021	17Jul2008	0
1022	18Jul2008	0
1023	19Jul2008	0
1024	20Jul2008	0
1025	21Jul2008	0
1026	22Jul2008	0
1027	23Jul2008	0
1028	24Jul2008	0
1029	25Jul2008	0
1030	26Jul2008	0
1031	27Jul2008	0
1032	28Jul2008	0
1033	29Jul2008	0
1034	30Jul2008	0
1035	31Jul2008	0
1036	01Aug2008	0
1037	02Aug2008	0
1038	03Aug2008	0
1039	04Aug2008	0
1040	05Aug2008	0
1041	06Aug2008	0
1042	07Aug2008	0
1043	08Aug2008	0
1044	09Aug2008	0
1045	10Aug2008	0
1046	11Aug2008	0
1047	12Aug2008	0
1048	13Aug2008	0
1049	14Aug2008	0
1050	15Aug2008	0
1051	16Aug2008	0
1052	17Aug2008	0
1053	18Aug2008	0
1054	19Aug2008	0
